order_id,product_id,add_to_cart_order,reordered
4807409,116,5,1
4806930,168,6,1
4806567,90,7,1
4806142,24,8,0
4805467,196,9,0
4805396,146,10,0
4804007,118,11,1
4803609,201,12,0
4803197,18,13,0
4801717,122,14,1
4801694,6,15,1
4801378,95,1,0
4799873,149,2,0
4799785,61,3,1
4799758,202,4,1
4799710,83,1,0
4799679,38,2,0
4799564,144,3,0
4798803,47,4,0
4798712,180,5,0
4798378,50,1,1
4798230,102,2,1
4798190,40,3,0
4796883,29,4,0
4796558,3,5,0
4795225,69,6,0
4793542,22,1,0
4792845,52,2,0
4792298,129,3,1
4791287,22,4,0
4791173,30,5,1
4791098,112,1,1
4791034,200,2,0
4790861,177,3,1
4790709,165,1,1
4790657,200,2,1
4790457,159,3,0
4789113,113,4,0
4788905,187,5,0
4788486,178,1,0
4787604,137,2,0
4786975,101,3,0
4786320,97,4,0
4786001,130,5,0
4785914,186,6,1
4785547,41,7,1
4784241,15,1,0
4783089,151,2,0
4783076,170,3,1
4782112,85,1,1
4781406,27,2,1
4781322,141,3,1
4781257,181,4,1
4781143,91,5,1
4780978,173,6,1
4780885,202,1,1
4780258,124,2,0
4778958,143,3,1
4778652,116,4,0
4778254,89,5,0
4777736,18,6,0
4776945,168,7,1
4776348,57,8,1
4776254,129,9,1
4775009,143,1,1
4774849,83,2,1
4773476,154,3,1
4772718,64,4,1
4772330,100,1,1
4771710,17,2,0
4771508,82,3,0
4770916,152,4,1
4770915,187,5,1
4770571,47,6,0
4768794,50,7,0
4768760,40,8,1
4768421,50,1,0
4767315,156,2,0
4764908,166,1,0
4764513,22,1,0
4763098,149,2,1
4761629,171,3,0
4760402,113,1,1
4758987,163,2,1
4758901,12,3,0
4758342,80,4,1
4757675,99,5,1
4757193,42,1,0
4757046,97,2,0
4756558,55,3,1
4755890,46,4,1
4755747,26,5,0
4754703,89,1,0
4754679,149,2,1
4753610,200,3,0
4753190,67,4,1
4752721,190,5,0
4752629,50,6,0
4752486,63,7,0
4752260,74,1,0
4751684,96,2,0
4750112,133,3,1
4750007,175,4,1
4749690,79,5,1
4748190,35,6,1
4744772,27,7,0
4744278,70,8,0
4744170,74,9,1
4742259,120,1,1
4742205,45,2,1
4741948,158,3,1
4740112,75,4,0
4739442,77,5,1
4739080,9,6,1
4738915,182,7,0
4735581,53,8,1
4735553,188,9,0
4735410,41,10,1
4734285,190,11,1
4733762,144,12,1
4732718,150,13,0
4732517,160,14,0
4730598,18,15,1
4729835,123,1,1
4728496,85,2,0
4727810,22,3,1
4726958,133,4,0
4726883,136,5,0
4725639,133,6,0
4724228,73,7,0
4721098,159,1,1
4719449,61,2,0
4718397,13,3,1
4718325,179,4,1
4718140,35,5,1
4717695,198,6,1
4716659,11,7,1
4716403,140,8,1
4713965,172,9,1
4713875,141,10,1
4712890,86,11,1
4710204,162,1,1
4709521,170,2,1
4709514,126,3,1
4707206,71,4,1
4706605,17,5,1
4705867,117,6,1
4705793,116,7,1
4705263,27,8,1
4704723,66,9,1
4704286,147,10,1
4703984,110,11,1
4703125,42,1,0
4702478,18,2,1
4702437,4,3,1
4701805,192,1,1
4701447,6,2,1
4701209,193,1,1
4700249,24,2,1
4700089,161,3,1
4698876,86,4,1
4697993,86,5,1
4696664,195,1,0
4695710,106,2,1
4695279,191,3,0
4694081,64,4,1
4694007,89,5,1
4693375,49,6,0
4693298,174,1,0
4692465,94,2,1
4692430,135,3,0
4690845,54,4,1
4689792,80,5,1
4689321,118,6,0
4688592,84,7,0
4688430,133,1,0
4688110,46,2,0
4687462,49,3,1
4686665,13,4,0
4686367,84,5,0
4685554,62,6,1
4685482,157,1,0
4685387,5,2,0
4685090,112,3,0
4684376,100,4,0
4682967,121,5,0
4678123,205,6,0
4672375,164,7,0
4671234,181,8,0
